fileid,,Prediction
Audio_Classification-MLSP-test/MLSP_test1443477.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test1602453.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test463146.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test1810394.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test616123.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test55458.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test7872.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test569232.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test592439.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test2647496.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2068447.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test633242.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test932110.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2186214.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test1582420.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test1515407.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test2115430.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test620253.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test1798478.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test2153476.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2109311.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test7443.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test684486.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2144237.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test1778475.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test2229354.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test80263.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1116162.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test6118.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test1163322.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test1053175.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test552352.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test639115.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2082223.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2779413.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test68182.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test6079.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1805429.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test49854.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test1140162.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test688497.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test1077269.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test593381.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test2679170.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test198998.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test1458291.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test925449.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1289164.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test301421.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test2077439.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1516233.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test1395138.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test2081207.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1301172.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test140846.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test2012248.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test7672.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test8403.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test896150.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test682163.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test1524204.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test2072214.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2062232.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1820283.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test25298.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test2472403.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test6886.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test63869.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test7835.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test88227.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test632353.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2142247.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test58819.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test651130.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test5143.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test4577.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test182273.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test645492.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test329269.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test2406.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2426402.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2155260.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test2471429.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test536357.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test6905.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test2098444.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test58686.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test2090121.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1379148.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test173438.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test130845.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test582166.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test8395.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1475459.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test489164.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test6401.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test572384.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test612184.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test65746.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2566454.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2409.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1205141.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test1235269.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test208923.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2071356.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test941333.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1968494.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test580456.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test2552281.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test77893.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test206085.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2061309.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2074455.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test113179.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test55319.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test7490.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test2239166.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test597453.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test2590367.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1186185.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test7723.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test1328457.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test1404304.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2336133.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test2462130.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test453350.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test1373407.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test732470.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1216256.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test3739.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test1706153.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test819237.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test942230.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test132489.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test6052.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test2823431.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test18380.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test1683220.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test2828417.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test2318377.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test286435.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test20111.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test1071.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test2182439.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test856170.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test205489.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test432208.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test1194176.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test774107.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test665311.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test1362223.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test1192345.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test303269.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test2073257.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test1451403.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test1277465.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test2565453.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test1865154.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test2108410.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test566180.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test1498106.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test1353495.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test7347.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test1457299.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test2085405.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test6416.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test210764.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test213499.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test712344.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test1306499.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test68320.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test1357311.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test2211271.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test968297.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test149028.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2154380.npy,,Vehicle_horn_and_car_horn_and_honking
Audio_Classification-MLSP-test/MLSP_test755223.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test2206272.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test1553343.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test68915.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2065366.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test423139.npy,,Bark
Audio_Classification-MLSP-test/MLSP_test130220.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2545247.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test2559120.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test1134284.npy,,Meow
Audio_Classification-MLSP-test/MLSP_test56548.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test2158293.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test584349.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test1649169.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test2091205.npy,,Siren
Audio_Classification-MLSP-test/MLSP_test574217.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test683408.npy,,Doorbell
Audio_Classification-MLSP-test/MLSP_test2693194.npy,,Walk_and_footsteps
Audio_Classification-MLSP-test/MLSP_test599390.npy,,Crying_and_sobbing
Audio_Classification-MLSP-test/MLSP_test192098.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test17186.npy,,Microwave_oven
Audio_Classification-MLSP-test/MLSP_test2204281.npy,,Shatter
Audio_Classification-MLSP-test/MLSP_test901102.npy,,Knock
Audio_Classification-MLSP-test/MLSP_test485355.npy,,Bark
